inventory_date,operator_id,operator_name,product_item_id,product_description,product_list_price,product_inventory_price,product_inventory_quantity
2017-11-30,1,"PP Operaciones CxA",12962,"BL La Scolca Gavi (75cl)",916.67,916.67,6.00
2017-11-30,1,"PP Operaciones CxA",12962,"BL La Scolca Gavi (75cl)",916.67,916.67,1.00
2017-11-30,1,"PP Operaciones CxA",12963,"CH Villa Jolanda Gold Prosecco (75cl)",488.00,488.00,2.00
2017-11-30,1,"PP Operaciones CxA",12963,"CH Villa Jolanda Gold Prosecco (75cl)",488.00,488.00,8.30
2017-11-30,1,"PP Operaciones CxA",12964,"CH Billecart Salmon Brut Reserve (75cl)",2583.33,2583.33,2.00
2017-11-30,1,"PP Operaciones CxA",12965,"TI Bogle Cabernet Sauvignon (75cl)",850.00,850.00,2.00
2017-11-30,1,"PP Operaciones CxA",12965,"TI Bogle Cabernet Sauvignon (75cl)",850.00,850.00,9.00
2017-11-30,1,"PP Operaciones CxA",12966,"TI Montes Alpha Carmenere (75cl)",1208.33,1208.33,0.00
2017-11-30,1,"PP Operaciones CxA",12968,"CH Cupcake Prosecco (75cl)",974.58,974.58,2.00
2017-11-30,1,"PP Operaciones CxA",12968,"CH Cupcake Prosecco (75cl)",974.58,974.58,3.00
2017-11-30,1,"PP Operaciones CxA",12970,"Ti Chateau Le Pey (75cl)",816.66,816.66,7.00
2017-11-30,1,"PP Operaciones CxA",12972,"TI Errazuriz  Max Cab Sauv (75cl)",550.00,550.00,3.00
2017-11-30,1,"PP Operaciones CxA",12973,"TI Errazuriz Reserva Cab Sauv (75cl)",625.00,625.00,2.00
2017-11-30,1,"PP Operaciones CxA",12974,"BL Garcia Viadero Albillo (75cl)",660.00,660.00,2.00
2017-11-30,1,"PP Operaciones CxA",12975,"TI Lapostolle Cuve Cab Sauv (75cl)",1550.00,1550.00,1.00
2017-11-30,1,"PP Operaciones CxA",12976,"BL Lapostolle Cuve Chardonay (75cl)",1364.00,1364.00,7.00
2017-11-30,1,"PP Operaciones CxA",12978,"TI Menage a Trois Mid Night (75cl)",693.00,693.00,5.00
2017-11-30,1,"PP Operaciones CxA",12980,"TI Menage a Trois Pinot Noir (75cl)",677.60,677.60,3.00
2017-11-30,1,"PP Operaciones CxA",12982,"CH Moet & Chandon Nect Imperial (75cl)",3060.00,3060.00,5.00
2017-11-30,1,"PP Operaciones CxA",12985,"TI Shafer Cabernet Sauv (75cl)",13320.00,13320.00,6.00
2017-11-30,1,"PP Operaciones CxA",12986,"TI Shafer Merlot (75cl)",3150.00,3150.00,14.00
2017-11-30,1,"PP Operaciones CxA",12988,"TI Terrazas Res. Cab Sauv (75cl)",1080.00,1080.00,4.00
2017-11-30,1,"PP Operaciones CxA",12990,"CH Veuve Clicquot Brut (75cl)",2925.00,2925.00,1.00
2017-11-30,1,"PP Operaciones CxA",12991,"CH Veuve du Vernay Brut (75cl)",441.00,441.00,1.00
2017-11-30,1,"PP Operaciones CxA",12992,"Cerveza Leffe Black (24/12oz)",2018.00,2018.00,0.50
2017-11-30,1,"PP Operaciones CxA",12992,"Cerveza Leffe Black (24/12oz)",2018.00,2018.00,2.25
2017-11-30,14,"Jalao SRL",12996,"Filete Mignon (FM)",154.00,154.00,250.00
2017-11-30,1,"PP Operaciones CxA",12997,"TI Opus One (75cl)",15666.67,15666.67,6.00
2017-11-30,14,"Jalao SRL",12998,"Pechuga De Pollo",86.00,86.00,90.00
2017-11-30,1,"PP Operaciones CxA",13000,"CH Bollinger Cuvee Brut Special (75cl)",2525.00,2525.00,11.00
2017-11-30,1,"PP Operaciones CxA",13001,"TI Cune Crianza Rioja (75cl)",563.00,563.00,2.00
2017-11-30,1,"PP Operaciones CxA",13001,"TI Cune Crianza Rioja (75cl)",563.00,563.00,12.00
2017-11-30,1,"PP Operaciones CxA",13002,"TI Cune Reserva Imperial (75cl)",1475.00,1475.00,5.00
